instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,prediction
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.10635399999999999,1138,2213,3351,3087.98
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,3272.86
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,3910.97
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,1897.55
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.44416700000000003,0.295392,614,3819,4433,3790.58
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,3490.72
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,3990.32
128,2011-05-08,2,0,5,0,0,0,1,0.5283329999999999,0.518933,0.631667,0.0746375,1401,2932,4333,3546.44
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.17600000000000002,664,3698,4362,3477.88
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.11567100000000001,694,4109,4803,3714.81
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.12064200000000001,550,3632,4182,3435.64
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,3371.61
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,3423.01
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,3902.11
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,3445.76
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,3466.97
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,3080.29
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,3382.15
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.10821300000000002,735,3840,4575,3294.71
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,3440.25
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,4143.61
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,3950.14
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,4050.86
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,4009.96
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.15423299999999998,740,4238,4978,3893.13
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.19964200000000001,758,3919,4677,3980.57
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,4119.15
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.23009200000000002,2001,2757,4758,4322.14
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.21393800000000002,2355,2433,4788,4120.35
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,3929.0
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,3927.73
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,3957.02
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.29228699999999996,736,4232,4968,4078.23
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,4157.99
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,4359.46
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,3930.76
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,3851.04
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,4001.25
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.6220829999999999,0.136817,676,3725,4401,3868.22
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,3848.0
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.14055399999999998,815,3771,4586,3927.21
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,4185.24
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.16356700000000002,1467,2993,4460,4016.48
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,3980.11
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,3973.67
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.16791199999999998,769,4411,5180,4043.25
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.20647100000000002,545,3222,3767,3956.44
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,3947.21
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.11940799999999999,1807,3312,5119,4177.09
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,3932.66
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,3881.44
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,3942.78
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,3903.05
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,4037.43
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,4033.99
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,4466.69
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.09453330000000001,1920,3385,5305,4015.14
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.10758800000000002,854,3854,4708,3859.34
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,3914.25
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,4075.12
181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.18531199999999998,1027,4488,5515,4128.13
182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.10260799999999999,1246,4116,5362,4082.19
183,2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.11506199999999998,2204,2915,5119,4359.46
184,2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,4038.65
185,2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.08147919999999999,3065,2978,6043,3903.26
186,2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.12625799999999998,1031,3634,4665,3915.39
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,3891.06
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,3866.86
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.6704829999999999,0.757917,0.225129,692,3348,4040,3964.89
190,2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.16791199999999998,1988,3348,5336,4187.49
191,2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,4018.59
192,2011-07-11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,3866.49
193,2011-07-12,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,4002.49
194,2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.14613299999999999,748,3594,4342,3868.22
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.24066700000000002,888,4196,5084,4211.95
196,2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,4018.8
197,2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,4287.06
198,2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,4068.54
199,2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,3943.94
200,2011-07-19,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,3927.73
201,2011-07-20,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,3874.0
202,2011-07-21,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,3950.44
203,2011-07-22,3,0,7,0,5,1,1,0.848333,0.8408959999999999,0.580417,0.1331,562,2825,3387,3954.58
204,2011-07-23,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,4386.76
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.16917100000000002,1050,2556,3606,3944.99
206,2011-07-25,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.09080830000000001,568,3272,3840,3898.62
207,2011-07-26,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,4000.87
208,2011-07-27,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.18346300000000001,755,3901,4656,4116.24
209,2011-07-28,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,3992.54
210,2011-07-29,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.17413800000000001,670,3176,3846,3982.11
211,2011-07-30,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,4360.45
212,2011-07-31,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.16481300000000002,1524,2778,4302,4082.52
213,2011-08-01,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,3857.72
214,2011-08-02,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,4136.14
215,2011-08-03,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.13558299999999998,467,3107,3574,3839.82
216,2011-08-04,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,3949.34
217,2011-08-05,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,4018.78
218,2011-08-06,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,4181.53
219,2011-08-07,3,0,8,0,0,0,1,0.7425,0.715292,0.7529170000000001,0.201487,1298,2487,3785,4092.56
220,2011-08-08,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,3936.19
221,2011-08-09,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,3918.63
222,2011-08-10,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,4113.07
223,2011-08-11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,4021.47
224,2011-08-12,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,4082.19
225,2011-08-13,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,4183.89
226,2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,4076.14
227,2011-08-15,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,3936.96
228,2011-08-16,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.23632899999999998,721,4004,4725,4102.71
229,2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.14366700000000002,668,4026,4694,3862.08
230,2011-08-18,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,4095.39
231,2011-08-19,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,3872.0
232,2011-08-20,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,4177.09
233,2011-08-21,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,4138.0
234,2011-08-22,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,3939.51
235,2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,4056.95
236,2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,4025.45
237,2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,3959.76
238,2011-08-26,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,3957.61
239,2011-08-27,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.37561700000000003,226,889,1115,4112.31
240,2011-08-28,3,0,8,0,0,0,1,0.707059,0.6479590000000001,0.561765,0.304659,1415,2919,4334,3986.0
241,2011-08-29,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,3857.72
242,2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.12500799999999998,775,4429,5204,3909.58
243,2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.08333330000000001,688,4370,5058,3864.9
244,2011-09-01,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,3858.8
245,2011-09-02,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,3924.45
246,2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,4242.37
247,2011-09-04,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,4078.87
248,2011-09-05,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,4050.13
249,2011-09-06,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710,3157.87
250,2011-09-07,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,3643.77
251,2011-09-08,3,0,9,0,4,1,3,0.6339130000000001,0.555361,0.939565,0.192748,153,1689,1842,3886.74
252,2011-09-09,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.12437899999999999,417,3127,3544,3866.21
253,2011-09-10,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345,4210.29
254,2011-09-11,3,0,9,0,0,0,1,0.6533329999999999,0.609229,0.71375,0.11505399999999999,1633,3413,5046,3933.55
255,2011-09-12,3,0,9,0,1,1,1,0.6443479999999999,0.60213,0.692174,0.088913,690,4023,4713,3880.22
256,2011-09-13,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.14180399999999999,701,4062,4763,3919.49
257,2011-09-14,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,3894.75
258,2011-09-15,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659,3555.63
259,2011-09-16,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760,3402.98
260,2011-09-17,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,3729.79
261,2011-09-18,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274,3537.54
262,2011-09-19,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.15174200000000002,691,3848,4539,3385.11
263,2011-09-20,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,3372.53
264,2011-09-21,3,0,9,0,3,1,2,0.595,0.5505329999999999,0.9,0.0964042,539,3813,4352,3699.79
265,2011-09-22,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795,3787.29
266,2011-09-23,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,3729.47
267,2011-09-24,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,4033.93
268,2011-09-25,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,3963.83
269,2011-09-26,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630,3900.04
270,2011-09-27,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120,3896.73
271,2011-09-28,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.14862899999999998,480,3427,3907,3814.97
272,2011-09-29,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.17288299999999998,653,4186,4839,3856.86
273,2011-09-30,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202,3744.73
274,2011-10-01,4,0,10,0,6,0,2,0.41,0.41286300000000004,0.75375,0.292296,480,1949,2429,2173.49
275,2011-10-02,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.22201300000000002,616,2302,2918,2246.1
276,2011-10-03,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.08334580000000001,330,3240,3570,2319.22
277,2011-10-04,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456,3089.4
278,2011-10-05,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826,3511.0
279,2011-10-06,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765,3272.8
280,2011-10-07,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985,3578.31
281,2011-10-08,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,3913.51
282,2011-10-09,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511,3403.03
283,2011-10-10,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,3447.38
284,2011-10-11,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563,3369.09
285,2011-10-12,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416,3437.27
286,2011-10-13,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913,3707.09
287,2011-10-14,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,3115,3644,3492.79
288,2011-10-15,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217,4320.43
289,2011-10-16,4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293,5041,3701.36
290,2011-10-17,4,0,10,0,1,1,1,0.5341670000000001,0.510725,0.579583,0.175379,713,3857,4570,3473.78
291,2011-10-18,4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.11008699999999999,637,4111,4748,3390.47
292,2011-10-19,4,0,10,0,3,1,3,0.5417390000000001,0.513848,0.895217,0.243339,254,2170,2424,3446.76
293,2011-10-20,4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471,3724,4195,3243.16
294,2011-10-21,4,0,10,0,5,1,1,0.4275,0.42359600000000003,0.574167,0.221396,676,3628,4304,2599.99
295,2011-10-22,4,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.09266669999999999,1499,2809,4308,2850.64
296,2011-10-23,4,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381,2690.82
297,2011-10-24,4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.11879200000000001,699,3488,4187,3072.78
298,2011-10-25,4,0,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695,3992,4687,3275.08
299,2011-10-26,4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404,3490,3894,3039.33
300,2011-10-27,4,0,10,0,4,1,2,0.47,0.457046,0.812917,0.19776300000000002,240,2419,2659,3171.4
301,2011-10-28,4,0,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,456,3291,3747,1939.39
302,2011-10-29,4,0,10,0,6,0,3,0.25416700000000003,0.227913,0.8825,0.351371,57,570,627,1299.09
303,2011-10-30,4,0,10,0,0,0,1,0.31916700000000003,0.321329,0.62375,0.176617,885,2446,3331,2190.99
304,2011-10-31,4,0,10,0,1,1,1,0.34,0.356063,0.703333,0.10635,362,3307,3669,2242.9
305,2011-11-01,4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410,3658,4068,2476.11
306,2011-11-02,4,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.08209169999999999,370,3816,4186,2431.03
307,2011-11-03,4,0,11,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318,3656,3974,2516.79
308,2011-11-04,4,0,11,0,5,1,2,0.403333,0.40339200000000003,0.6225,0.271779,470,3576,4046,2142.24
309,2011-11-05,4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.18906199999999998,1156,2770,3926,2217.35
310,2011-11-06,4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.09205419999999999,952,2697,3649,2512.2
311,2011-11-07,4,0,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,373,3662,4035,2499.37
312,2011-11-08,4,0,11,0,2,1,1,0.408333,0.412246,0.7216670000000001,0.0690375,376,3829,4205,2561.8
313,2011-11-09,4,0,11,0,3,1,1,0.4,0.40907899999999997,0.758333,0.06219580000000001,305,3804,4109,2503.59
314,2011-11-10,4,0,11,0,4,1,2,0.38,0.373721,0.813333,0.189067,190,2743,2933,2256.84
315,2011-11-11,4,0,11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440,2928,3368,2181.49
316,2011-11-12,4,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275,2792,4067,2409.22
317,2011-11-13,4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004,2713,3717,3146.18
318,2011-11-14,4,0,11,0,1,1,1,0.53,0.524612,0.587083,0.306596,595,3891,4486,3321.47
319,2011-11-15,4,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,449,3746,4195,3457.53
320,2011-11-16,4,0,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,145,1672,1817,3171.87
321,2011-11-17,4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.30536199999999997,139,2914,3053,1884.75
322,2011-11-18,4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,245,3147,3392,2193.99
323,2011-11-19,4,0,11,0,6,0,1,0.329167,0.32448299999999997,0.502083,0.224496,943,2720,3663,2216.53
