,EPISODE_NARRATIVE,EVENT_NARRATIVE,EVENT_NER
60,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,Several large tree limbs were blown down.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
61,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,A tree was blown down over County Road E near Moody. MODOT had to remove the tree.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
62,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,A rainfall amount of 0.95 inches was measured in 20 minutes.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
63,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,A rainfall amount of 1.12 inches was measured in 35 minutes.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
64,Isolated severe thunderstorms produced a few reports of severe weather across the Missouri Ozarks.,There were several reports from social media of flowing water over roadways in north Springfield. One of the reports of street flooding was near Boonville Street.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
65,Isolated severe thunderstorms produced a few reports of severe weather across the Missouri Ozarks.,Water was flowing over Grant Street south of Kearney Ave.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
66,Isolated severe thunderstorms produced a few reports of severe weather across the Missouri Ozarks.,,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
67,Rain bands from Tropical Storm Cindy affected portions of the Florida panhandle with heavy rainfall and localized flooding.,Eight Mile Cemetary Road was closed due to water on the roadway.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
68,Rain bands from Tropical Storm Cindy affected portions of the Florida panhandle with heavy rainfall and localized flooding.,Natural Bridge Road was closed due to water on the roadway.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
69,Scattered thunderstorms with gusty winds over 34 knots moved off the peninsula and crossed the intracoastal and near-shore Atlantic waters.,The Patrick Air Force Base ASOS (KCOF) measured a peak wind of 34 knots from the southwest as a strong thunderstorm exited the coast and continued into the Atlantic.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
70,Scattered thunderstorms with gusty winds over 34 knots moved off the peninsula and crossed the intracoastal and near-shore Atlantic waters.,A mesonet site east of the Valkaria Airport along the Indian River measured a peak wind of 40 knots from the southwest as a strong thunderstorm exited the mainland and continued to the intracoastal waterway.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
71,Scattered thunderstorms with gusty winds over 34 knots moved off the peninsula and crossed the intracoastal and near-shore Atlantic waters.,The ASOS at Melbourne International Airport (KMLB) measured a peak wind of 39 knots from the southwest as a strong thunderstorm exited the mainland and continued to the Indian River.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
72,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,A home on County Road 162 near Highway EE was struck by lightning which caused a fire.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
73,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,A large tree was reported blown down on power lines near the intersection of Battlefield Road and Jefferson Avenue.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
74,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,Three large trees were blown down on Bellview Road near the downtown airport.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
75,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,Several large tree limbs were blown down.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
76,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,Several large tree limbs were blown down.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
77,A cold front interacting with moisture from a tropical system and caused severe storms with reports of wind damage around the Missouri Ozarks.,Several large tree limbs were blown down.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
78,Isolated severe thunderstorms produced a few reports of severe weather across the Missouri Ozarks.,A tree was blown down across Grant and Kearney Street.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
79,Isolated severe thunderstorms produced a few reports of severe weather across the Missouri Ozarks.,The awning at a gas station was blown off.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
80,Isolated severe thunderstorms produced a few reports of severe weather across the Missouri Ozarks.,Several large tree limbs were blown down near Jean and Lyon Street.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
81,Isolated severe thunderstorms produced a few reports of severe weather across the Missouri Ozarks.,Several large tree limbs were blown down across from the Humane Society building.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
82,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
83,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
84,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,Several large tree limbs were blown down.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
85,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,A power line was blown down near West 4th Street.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
86,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,A large tree was uprooted on East Oak Drive.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
87,"Deep moisture across the area led to scattered thunderstorms developing over the Florida Peninsula and working west towards the coast through the afternoon. Some of these storms produced marine wind gusts, as well as a waterspout.",Broadcast media replayed a report from the public of a waterspout off Longboat Key.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
88,Sea breeze thunderstorms developed over the Florida Peninsula and pushed west towards the Gulf of Mexico during the afternoon and early evening hours. A few of these storms produced strong wind gusts.,A home weather station near Port Charlotte reported a wind gust of 51 knots.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
89,Sea breeze thunderstorms developed over the Florida Peninsula and pushed west towards the Gulf of Mexico during the afternoon and early evening hours. A few of these storms produced marine wind gusts along the coast.,The ASOS at Albert Whitted Airport measured a 35 knot thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
90,Sea breeze thunderstorms developed over the Florida Peninsula and pushed west towards the Gulf of Mexico during the afternoon and early evening hours. A few of these storms produced marine wind gusts along the coast.,The WeatherFlow station near Gulfport recorded a 36 knot marine thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
91,Early morning showers developing along the Gulf Coast produced a brief waterspout.,A local TV station sent in a picture from a viewer of a waterspout off of the coast of Tarpon Springs.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
92,The outer bands of Tropical Storm Cindy affected the area during the early morning hours of June 22nd with a few trees blown down onto power lines.,Power outages were reported in the area due to trees on power lines.  The public also estimated wind gusts of 55-60 mph in the area.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
93,"An isolated, brief severe storm developed in Geneva county with damage to power lines in the western portion of the county.",Power lines were blown down in the Samson area.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
94,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,Several large tree limbs were blown down on Chestnut Street in Pittsburg.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
95,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,A large tree limb was blown down on 8th Street in Pittsburg.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
96,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,Several large tree branches were blown down.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
97,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,There was minor damage to a porch of a home. Numerous trees were blown down in the Riverton area.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
98,Severe thunderstorm produced reports of wind damage and large hail across southeast Kansas.,A tree was blown down.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
99,Several rounds of severe thunderstorms impacted the Missouri Ozarks with wind damage.,A large tree was blown down on west Walnut Street in Nevada. Another tree fell on a house.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
